　,A1A1,　
Ａ,A1A2,、
Ｂ,A1A3,。
Ｃ,A1A4,，
Ｄ,A1A5,．
Ｅ,A1A6,・
Ｆ,A1A7,：
Ｇ,A1A8,；
Ｈ,A1A9,？
Ｉ,A1AA,！
Ｊ,A1AB,゛
Ｋ,A1AC,゜
Ｌ,A1AD,´
Ｍ,A1AE,｀
Ｎ,A1AF,¨
Ｏ,A1B0,＾
Ｐ,A1B1,￣
Ｑ,A1B2,＿
Ｒ,A1B3,ヽ
Ｓ,A1B4,ヾ
Ｔ,A1B5,ゝ
Ｕ,A1B6,ゞ
Ｖ,A1B7,〃
Ｗ,A1B8,仝
Ｘ,A1B9,々
Ｙ,A1BA,〆
Ｚ,A1BB,〇
ａ,A1BC,ー
ｂ,A1BD,―
ｃ,A1BE,‐
ｄ,A1BF,／
ｅ,A1C0,\
ｆ,A1C1,～
ｇ,A1C2,‖
ｈ,A1C3,｜
ｉ,A1C4,…
ｊ,A1C5,‥
ｋ,A1C6,‘
ｌ,A1C7,’
ｍ,A1C8,“
ｎ,A1C9,”
ｏ,A1CA,（
ｐ,A1CB,）
ｑ,A1CC,〔
ｒ,A1CD,〕
ｓ,A1CE,［
ｔ,A1CF,］
ｕ,A1D0,｛
ｖ,A1D1,｝
ｗ,A1D2,〈
ｘ,A1D3,〉
ｙ,A1D4,《
ｚ,A1D5,》
0,A1D6,「
1,A1D7,」
2,A1D8,『
3,A1D9,』
4,A1DA,【
5,A1DB,】
6,A1DC,＋
7,A1DD,−
8,A1DE,±
9,A1DF,×
。,A1E0,÷
？,A1E1,＝
！,A1E2,≠
，,A1E3,＜
、,A1E4,＞
：,A1E5,≦
；,A1E6,≧
＂,A1E7,∞
＂,A1E8,∴
（,A1E9,♂
）,A1EA,♀
—,A1EB,°
…,A1EC,′
《,A1ED,″
》,A1EE,℃
～,A1EF,￥
．,A1F0,＄
阿,A1F1,¢
啊,A1F2,£
哎,A1F3,％
哀,A1F4,＃
唉,A1F5,＆
埃,A1F6,＊
挨,A1F7,＠
癌,A1F8,§
矮,A1F9,☆
艾,A1FA,★
爱,A1FB,○
碍,A1FC,●
安,A1FD,◎
氨,A1FE,◇
俺,A2A1,◆
岸,A2A2,□
按,A2A3,■
案,A2A4,△
暗,A2A5,▲
昂,A2A6,▽
凹,A2A7,▼
熬,A2A8,※
傲,A2A9,〒
奥,A2AA,→
澳,A2AB,←
八,A2AC,↑
巴,A2AD,↓
叭,A2AE,〓
吧,A2BA,∈
拔,A2BB,∋
把,A2BC,⊆
坝,A2BD,⊇
爸,A2BE,⊂
罢,A2BF,⊃
霸,A2C0,∪
白,A2C1,∩
百,A2CA,∧
柏,A2CB,∨
摆,A2CC,￢
败,A2CD,⇒
拜,A2CE,⇔
班,A2CF,∀
般,A2D0,∃
颁,A2DC,∠
斑,A2DD,⊥
搬,A2DE,⌒
板,A2DF,∂
版,A2E0,∇
办,A2E1,≡
半,A2E2,≒
伴,A2E3,≪
扮,A2E4,≫
瓣,A2E5,√
邦,A2E6,∽
帮,A2E7,∝
膀,A2E8,∵
傍,A2E9,∫
棒,A2EA,∬
包,A2F2,Å
胞,A2F3,‰
宝,A2F4,♯
饱,A2F5,♭
保,A2F6,♪
堡,A2F7,†
报,A2F8,‡
抱,A2F9,¶
豹,A2FE,◯
暴,A3B0,0
爆,A3B1,1
卑,A3B2,2
杯,A3B3,3
悲,A3B4,4
碑,A3B5,5
北,A3B6,6
贝,A3B7,7
备,A3B8,8
背,A3B9,9
倍,A3C1,Ａ
被,A3C2,Ｂ
辈,A3C3,Ｃ
奔,A3C4,Ｄ
本,A3C5,Ｅ
崩,A3C6,Ｆ
逼,A3C7,Ｇ
鼻,A3C8,Ｈ
比,A3C9,Ｉ
彼,A3CA,Ｊ
笔,A3CB,Ｋ
币,A3CC,Ｌ
必,A3CD,Ｍ
毕,A3CE,Ｎ
闭,A3CF,Ｏ
辟,A3D0,Ｐ
碧,A3D1,Ｑ
蔽,A3D2,Ｒ
壁,A3D3,Ｓ
避,A3D4,Ｔ
臂,A3D5,Ｕ
边,A3D6,Ｖ
编,A3D7,Ｗ
蝙,A3D8,Ｘ
鞭,A3D9,Ｙ
扁,A3DA,Ｚ
便,A3E1,ａ
变,A3E2,ｂ
遍,A3E3,ｃ
辨,A3E4,ｄ
辩,A3E5,ｅ
标,A3E6,ｆ
表,A3E7,ｇ
别,A3E8,ｈ
宾,A3E9,ｉ
滨,A3EA,ｊ
冰,A3EB,ｋ
兵,A3EC,ｌ
丙,A3ED,ｍ
柄,A3EE,ｎ
饼,A3EF,ｏ
并,A3F0,ｐ
病,A3F1,ｑ
拨,A3F2,ｒ
波,A3F3,ｓ
玻,A3F4,ｔ
剥,A3F5,ｕ
播,A3F6,ｖ
脖,A3F7,ｗ
伯,A3F8,ｘ
驳,A3F9,ｙ
泊,A3FA,ｚ
勃,A4A1,ぁ
博,A4A2,あ
搏,A4A3,ぃ
膊,A4A4,い
薄,A4A5,ぅ
卜,A4A6,う
补,A4A7,ぇ
捕,A4A8,え
不,A4A9,ぉ
布,A4AA,お
步,A4AB,か
部,A4AC,が
擦,A4AD,き
猜,A4AE,ぎ
才,A4AF,く
材,A4B0,ぐ
财,A4B1,け
裁,A4B2,げ
采,A4B3,こ
彩,A4B4,ご
踩,A4B5,さ
菜,A4B6,ざ
蔡,A4B7,し
参,A4B8,じ
餐,A4B9,す
残,A4BA,ず
蚕,A4BB,せ
惨,A4BC,ぜ
灿,A4BD,そ
仓,A4BE,ぞ
苍,A4BF,た
舱,A4C0,だ
藏,A4C1,ち
操,A4C2,ぢ
曹,A4C3,っ
槽,A4C4,つ
草,A4C5,づ
册,A4C6,て
侧,A4C7,で
测,A4C8,と
策,A4C9,ど
层,A4CA,な
叉,A4CB,に
插,A4CC,ぬ
查,A4CD,ね
茶,A4CE,の
察,A4CF,は
差,A4D0,ば
拆,A4D1,ぱ
柴,A4D2,ひ
缠,A4D3,び
产,A4D4,ぴ
阐,A4D5,ふ
颤,A4D6,ぶ
